subj,cond,AOI,duration,order
User 2ab,p1,af,0.476500,1
User 2ab,p1,ai,0.032770,2
User 2ab,p1,ag,0.065800,3
User 2ab,p1,ai,0.148010,4
User 2ab,p1,ag,1.133720,5
User 2ab,p1,ag,0.837890,6
User 2ab,p1,bi,0.624140,7
User 2ab,p1,ah,1.380190,8
User 2ab,p1,ag,0.443420,9
User 2ab,p1,ai,0.049320,10
User 2ab,p1,ag,1.774600,11
User 2ab,p1,ag,0.065920,12
User 2ab,p1,ai,0.246340,13
User 2ab,p1,af,6.078550,14
User 2ab,p1,ag,0.460080,15
User 2ab,p1,ae,4.337160,16
User 2ab,p1,ac,7.408880,17
User 2ab,p1,aa,0.673460,18
User 2ab,p1,ag,0.804930,19
User 2ab,p1,ai,0.147950,20
User 2ab,p1,ag,0.837890,21
User 2ab,p1,bi,0.016540,22
User 2ab,p1,ah,0.871830,23
User 2ab,p1,ad,2.053580,24
