subj,cond,AOI,duration,order
User 15ab,p2,ah,0.279300,1
User 15ab,p2,ai,1.396480,2
User 15ab,p2,ai,1.478450,3
User 15ab,p2,ah,0.985600,4
User 15ab,p2,ag,3.105770,5
User 15ab,p2,bg,0.887200,6
User 15ab,p2,ag,1.149720,7
User 15ab,p2,ad,4.320560,8
User 15ab,p2,ab,2.234130,9
User 15ab,p2,ab,0.312260,10
User 15ab,p2,bd,0.377870,11
User 15ab,p2,ac,2.185310,12
User 15ab,p2,ae,4.172180,13
User 15ab,p2,af,0.903560,14
User 15ab,p2,af,0.312010,15
User 15ab,p2,bg,0.607850,16
User 15ab,p2,ah,4.747620,17
User 15ab,p2,bg,0.147890,18
User 15ab,p2,bd,0.016180,19
User 15ab,p2,bg,0.279360,20
