aoi_order,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label,aoi_line,word,word_length_signs
None,0.164310,694.802584,425.956671,0.164550,0.000000,a,None,None,None
None,0.378170,511.242433,135.696297,0.542000,0.000000,a,None,None,None
None,0.953130,705.750778,60.153868,1.971190,208.662778,a,None,None,None
None,2.989990,689.143808,124.395183,1.971440,66.353131,a,None,None,None
None,5.043950,640.729963,153.149535,1.757560,56.309086,a,None,None,None
None,6.867190,620.780106,174.720579,1.774170,29.382081,a,None,None,None
None,8.723390,511.938402,242.655559,1.035150,128.303072,a,None,None,None
None,9.840580,973.927160,194.120757,1.429440,464.531204,a,None,None,None
None,11.335690,557.188985,235.376390,0.673590,418.775278,a,None,None,None
None,12.058590,1018.604159,240.808028,0.312020,461.447143,a,None,None,None
None,12.452640,491.760941,276.034517,1.232170,528.019586,a,None,None,None
None,13.750730,965.478262,361.813094,1.839850,481.420882,a,None,None,None
None,15.656490,505.457713,303.022150,2.875000,463.762095,a,None,None,None
None,18.596920,982.698289,277.387633,1.593750,477.928547,a,None,None,None
None,20.272710,547.513610,330.969153,6.768310,438.470848,a,None,None,None
None,27.073970,558.788319,338.610982,2.464120,13.620449,a,None,None,None
None,29.603760,550.298294,400.662940,5.817380,62.630073,a,None,None,None
None,35.468750,583.424833,442.834952,2.185300,53.626916,a,None,None,None
None,37.686520,966.970521,404.639420,1.265380,385.442854,a,None,None,None
None,39.050290,475.166397,498.324580,1.034670,500.647786,a,None,None,None
None,40.167240,921.030770,596.118501,0.361570,456.463241,a,None,None,None
None,40.610840,444.251360,599.910737,0.344970,476.794492,a,None,None,None
None,40.988770,478.897846,303.680071,0.525390,298.249873,a,None,None,None
None,41.580320,957.683113,380.922935,0.689700,484.976074,a,None,None,None
None,42.729980,483.969693,526.267325,5.093020,495.509229,a,None,None,None
None,48.184330,719.060836,423.231387,0.034180,256.679274,a,None,None,None
None,48.233400,626.308883,547.825356,0.527100,155.327337,a,None,None,None
None,48.824950,955.513161,507.882416,2.152100,331.618599,a,None,None,None
None,51.059330,545.157898,621.678597,2.776360,425.841535,a,None,None,None
None,53.868410,941.655580,608.704933,0.673580,396.709879,a,None,None,None
None,54.607910,503.331712,627.690653,1.708500,438.734853,a,None,None,None
None,56.349120,523.744782,653.593145,3.055670,32.979274,a,None,None,None
None,59.470700,707.812876,710.532889,6.916020,192.673812,a,None,None,None
None,66.452640,543.492669,739.167153,2.628410,166.796437,a,None,None,None
None,69.163090,508.292240,777.062828,3.006340,51.721876,a,None,None,None
None,72.218750,529.280583,840.730546,1.232180,67.037965,a,None,None,None
None,73.500490,634.073202,870.231604,2.365480,108.865997,a,None,None,None
None,75.931640,604.957282,910.345380,2.497320,49.566641,a,None,None,None
