aoi_order,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label,aoi_line,word,word_length_signs
None,0.082200,638.267314,138.893410,2.234210,0.000000,a,None,None,None
None,2.365740,691.675814,142.859538,2.940500,0.000000,a,None,None,None
None,5.374070,721.783608,135.379896,1.903670,31.022964,a,None,None,None
None,7.360000,579.957471,261.437331,7.145910,189.750179,a,None,None,None
None,14.522600,597.816659,402.232109,5.864900,141.922938,a,None,None,None
None,20.403980,614.115795,398.386297,1.084410,16.746704,a,None,None,None
None,21.520980,689.371539,329.292135,1.889220,102.163742,a,None,None,None
None,23.459550,648.204449,459.729654,2.858520,136.779662,a,None,None,None
None,26.367690,646.714255,491.839645,1.757690,32.144551,a,None,None,None
None,28.174480,712.271850,583.219779,2.710760,112.463892,a,None,None,None
None,30.967210,650.768193,575.885987,5.174900,61.939360,a,None,None,None
None,36.209120,612.376563,649.335589,2.660130,82.877990,a,None,None,None
None,38.935290,579.063095,691.901836,3.893190,54.052498,a,None,None,None
None,42.877760,658.428727,729.621413,2.644870,87.873034,a,None,None,None
None,45.572130,571.985203,727.542443,3.121210,86.468521,a,None,None,None
None,48.726240,617.675512,810.418514,2.482480,94.636396,a,None,None,None
None,51.272630,610.194412,895.455478,2.677860,85.365403,a,None,None,None
None,53.966870,716.080414,940.025434,2.316470,114.883969,a,None,None,None
None,56.332630,695.408423,766.736729,0.607750,174.517353,a,None,None,None
None,57.006120,611.954895,501.062533,4.895780,278.473104,a,None,None,None
None,61.983750,534.084141,244.407463,0.608120,268.208275,a,None,None,None
None,63.166730,530.217858,427.520847,0.032810,183.154196,a,None,None,None
None,63.232320,608.563571,218.682671,0.690060,223.050296,a,None,None,None
None,63.938860,613.116886,483.402949,2.184900,264.759435,a,None,None,None
