subj,cond,AOI,duration,order
User 10ba,p2,af,0.262580,1
User 10ba,p2,ah,0.147580,2
User 10ba,p2,ai,0.098260,3
User 10ba,p2,ah,0.049560,4
User 10ba,p2,ai,0.032470,5
User 10ba,p2,ai,0.295770,6
User 10ba,p2,ai,0.363770,7
User 10ba,p2,ai,0.164180,8
User 10ba,p2,ai,0.295780,9
User 10ba,p2,ai,0.230220,10
User 10ba,p2,ai,0.509280,11
User 10ba,p2,ai,0.164430,12
User 10ba,p2,ai,0.064940,13
User 10ba,p2,ai,0.345090,14
User 10ba,p2,ai,0.396730,15
User 10ba,p2,bi,0.131470,16
User 10ba,p2,bi,0.345830,17
User 10ba,p2,ah,0.065680,18
User 10ba,p2,ah,0.279050,19
User 10ba,p2,ah,0.887210,20
User 10ba,p2,ai,0.180660,21
User 10ba,p2,ah,0.229000,22
User 10ba,p2,ah,1.314330,23
User 10ba,p2,ai,0.378060,24
User 10ba,p2,ah,0.054560,25
User 10ba,p2,ai,0.145390,26
User 10ba,p2,ai,0.312140,27
User 10ba,p2,ai,0.180910,28
User 10ba,p2,ah,0.032830,29
User 10ba,p2,ai,0.262820,30
User 10ba,p2,ai,0.180420,31
User 10ba,p2,ah,0.492670,32
User 10ba,p2,ah,0.575080,33
User 10ba,p2,bh,0.788700,34
User 10ba,p2,ag,0.114870,35
User 10ba,p2,ag,0.328370,36
User 10ba,p2,ag,0.114990,37
User 10ba,p2,bg,0.131220,38
User 10ba,p2,bf,0.377810,39
User 10ba,p2,ag,0.016350,40
User 10ba,p2,ah,0.016350,41
User 10ba,p2,ag,0.180540,42
User 10ba,p2,ai,0.295780,43
User 10ba,p2,ag,0.673470,44
User 10ba,p2,ag,0.673580,45
User 10ba,p2,ag,0.706430,46
User 10ba,p2,ag,0.558350,47
User 10ba,p2,ag,0.870970,48
User 10ba,p2,ag,0.082280,49
User 10ba,p2,ag,0.427120,50
User 10ba,p2,ag,0.279300,51
User 10ba,p2,ag,0.032960,52
User 10ba,p2,ag,0.328740,53
User 10ba,p2,ag,0.032710,54
User 10ba,p2,ag,0.706660,55
User 10ba,p2,ag,0.246340,56
User 10ba,p2,ag,0.180790,57
User 10ba,p2,af,0.624150,58
User 10ba,p2,ag,0.366460,59
User 10ba,p2,af,0.082160,60
User 10ba,p2,bf,0.460200,61
User 10ba,p2,bf,0.394410,62
User 10ba,p2,ag,0.229010,63
User 10ba,p2,af,0.623780,64
User 10ba,p2,bf,0.065670,65
User 10ba,p2,bf,0.016360,66
User 10ba,p2,be,0.295650,67
User 10ba,p2,ae,0.361570,68
User 10ba,p2,af,0.197390,69
User 10ba,p2,ae,0.032840,70
User 10ba,p2,ad,0.098380,71
User 10ba,p2,ad,0.591430,72
User 10ba,p2,ae,0.295530,73
User 10ba,p2,ae,0.230230,74
User 10ba,p2,ae,0.755620,75
User 10ba,p2,ai,0.016360,76
User 10ba,p2,ae,0.246460,77
User 10ba,p2,ad,1.068000,78
User 10ba,p2,ad,0.016360,79
User 10ba,p2,ad,0.394530,80
User 10ba,p2,ad,0.575070,81
User 10ba,p2,be,0.012080,82
User 10ba,p2,bd,0.049200,83
User 10ba,p2,bd,0.195560,84
User 10ba,p2,ad,0.164190,85
User 10ba,p2,ad,0.459840,86
User 10ba,p2,ad,0.969720,87
User 10ba,p2,ac,0.114620,88
User 10ba,p2,ad,0.361570,89
User 10ba,p2,ad,0.114990,90
User 10ba,p2,ad,0.246460,91
User 10ba,p2,bd,0.246830,92
User 10ba,p2,bc,0.214970,93
User 10ba,p2,ac,0.542110,94
User 10ba,p2,ac,0.588010,95
User 10ba,p2,ac,0.032960,96
User 10ba,p2,ac,0.078000,97
User 10ba,p2,ab,0.098510,98
User 10ba,p2,ab,0.262450,99
User 10ba,p2,ab,0.295650,100
User 10ba,p2,ac,2.431520,101
User 10ba,p2,ac,0.279300,102
User 10ba,p2,ac,0.016600,103
User 10ba,p2,ac,0.032840,104
User 10ba,p2,ac,0.213620,105
User 10ba,p2,ac,0.378050,106
User 10ba,p2,ac,1.741330,107
User 10ba,p2,ab,0.837770,108
User 10ba,p2,ab,0.673580,109
User 10ba,p2,ac,0.016600,110
User 10ba,p2,ab,0.312260,111
User 10ba,p2,bd,0.032840,112
User 10ba,p2,bf,0.131710,113
User 10ba,p2,bf,0.114750,114
User 10ba,p2,bf,0.016480,115
User 10ba,p2,bg,0.065430,116
User 10ba,p2,bg,0.098760,117
User 10ba,p2,af,0.213380,118
User 10ba,p2,af,0.410890,119
User 10ba,p2,ae,0.411250,120
User 10ba,p2,af,0.344850,121
User 10ba,p2,bg,0.147700,122
User 10ba,p2,bg,0.476570,123
User 10ba,p2,bf,0.030760,124
User 10ba,p2,bg,0.410890,125
User 10ba,p2,bg,0.246340,126
User 10ba,p2,aa,0.295780,127
User 10ba,p2,ab,0.295780,128
User 10ba,p2,be,0.131590,129
User 10ba,p2,bf,0.230100,130
