subj,cond,AOI,duration,order
User 13ab,p1,ag,0.229980,1
User 13ab,p1,ai,1.544310,2
User 13ab,p1,ai,0.890010,3
User 13ab,p1,ah,0.722960,4
User 13ab,p1,ag,0.823480,5
User 13ab,p1,ag,0.690120,6
User 13ab,p1,af,0.607910,7
User 13ab,p1,af,1.411500,8
User 13ab,p1,ag,3.467100,9
User 13ab,p1,af,1.429320,10
User 13ab,p1,af,1.133550,11
User 13ab,p1,af,0.410710,12
User 13ab,p1,ag,0.821410,13
User 13ab,p1,af,0.954160,14
User 13ab,p1,ae,0.016540,15
User 13ab,p1,ad,0.016300,16
User 13ab,p1,ae,0.031000,17
User 13ab,p1,ae,0.147830,18
User 13ab,p1,ae,1.856630,19
User 13ab,p1,ad,0.114990,20
User 13ab,p1,ad,1.692200,21
User 13ab,p1,ac,0.920100,22
User 13ab,p1,ab,1.642760,23
User 13ab,p1,af,6.390570,24
