subj,cond,AOI,duration,order
User 6ba,p1,ah,1.512700,1
User 6ba,p1,ah,1.248780,2
User 6ba,p1,ah,1.528070,3
User 6ba,p1,ag,5.174800,4
User 6ba,p1,af,4.090820,5
User 6ba,p1,af,0.328620,6
User 6ba,p1,ad,5.536140,7
User 6ba,p1,af,3.449950,8
User 6ba,p1,af,0.952640,9
User 6ba,p1,bf,0.082520,10
User 6ba,p1,be,0.034180,11
User 6ba,p1,ae,0.065920,12
User 6ba,p1,ae,5.337650,13
User 6ba,p1,ae,0.312250,14
User 6ba,p1,ad,1.002190,15
User 6ba,p1,ae,1.297610,16
User 6ba,p1,ac,0.838130,17
User 6ba,p1,ac,0.197270,18
User 6ba,p1,ae,0.279050,19
User 6ba,p1,af,2.234130,20
