subj,cond,AOI,duration,order
User 15ab,p2,ah,0.197080,1
User 15ab,p2,ai,0.032840,2
User 15ab,p2,ai,1.264950,3
User 15ab,p2,ai,0.739140,4
User 15ab,p2,bi,0.377870,5
User 15ab,p2,bh,0.262880,6
User 15ab,p2,ah,0.394170,7
User 15ab,p2,ah,0.526740,8
User 15ab,p2,ah,0.246210,9
User 15ab,p2,ag,0.410710,10
User 15ab,p2,af,1.757930,11
User 15ab,p2,af,0.559690,12
User 15ab,p2,bg,0.394840,13
User 15ab,p2,bg,0.443300,14
User 15ab,p2,ag,1.117120,15
User 15ab,p2,ae,2.612000,16
User 15ab,p2,ac,1.232170,17
User 15ab,p2,ab,0.344970,18
User 15ab,p2,ab,2.201410,19
User 15ab,p2,ab,0.295720,20
User 15ab,p2,bd,0.345030,21
User 15ab,p2,ac,0.460080,22
User 15ab,p2,ac,1.281680,23
User 15ab,p2,ac,0.361630,24
User 15ab,p2,ad,1.314030,25
User 15ab,p2,ad,0.164190,26
User 15ab,p2,ae,2.497010,27
User 15ab,p2,af,0.870970,28
User 15ab,p2,af,0.262940,29
User 15ab,p2,bg,0.377930,30
User 15ab,p2,bh,0.180850,31
User 15ab,p2,ah,2.251160,32
User 15ab,p2,ai,0.180780,33
User 15ab,p2,bi,0.229860,34
User 15ab,p2,bh,1.757570,35
User 15ab,p2,bh,0.131290,36
User 15ab,p2,bg,0.098870,37
User 15ab,p2,bd,0.016180,38
User 15ab,p2,bg,0.262940,39
