aoi_order,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label,aoi_line,word,word_length_signs
None,0.082030,619.646095,285.635243,1.889340,0.000000,a,None,None,None
None,2.020750,936.503033,233.934841,0.394470,0.000000,a,None,None,None
None,2.447810,1049.980602,222.641358,0.098520,114.038158,a,None,None,None
None,2.645140,552.096616,189.875562,1.429200,498.960982,a,None,None,None
None,4.139890,475.686230,63.703246,0.148010,147.505933,a,None,None,None
None,4.320740,531.410777,275.259634,0.804870,218.772326,a,None,None,None
None,5.240600,517.985114,202.936415,0.049260,73.558796,a,None,None,None
None,5.388790,1060.819749,178.972660,0.229560,543.363325,a,None,None,None
None,5.700500,968.637957,389.095469,0.263000,229.453868,a,None,None,None
None,6.012760,1186.702530,70.619254,0.147950,385.978312,a,None,None,None
None,6.226500,1080.784591,233.684332,0.706360,194.444926,a,None,None,None
None,7.047910,471.702851,324.767176,0.279120,615.854407,a,None,None,None
None,7.442020,401.311699,26.491124,0.131410,306.469440,a,None,None,None
None,7.622860,520.336937,252.417820,0.345040,255.362251,a,None,None,None
None,7.984250,567.627176,332.986075,0.295600,93.421681,a,None,None,None
None,8.329100,509.634002,175.028638,0.065610,168.266931,a,None,None,None
None,8.772710,1119.196664,174.557170,1.182800,609.562844,a,None,None,None
None,10.005000,1065.880535,216.769816,0.246100,68.003802,a,None,None,None
None,10.382570,497.306894,475.948607,1.199280,624.859689,a,None,None,None
None,11.664120,994.445133,500.686076,0.394170,497.753323,a,None,None,None
None,12.124150,529.397806,528.323088,0.690180,465.867815,a,None,None,None
None,12.847170,417.438818,703.995253,0.197930,208.315925,a,None,None,None
None,13.126280,981.344711,489.433112,1.560550,603.346309,a,None,None,None
None,14.768980,486.756557,553.234035,1.659180,498.686274,a,None,None,None
None,16.444700,443.848153,678.825662,0.558780,132.719207,a,None,None,None
None,17.134950,488.330843,184.331588,1.149660,496.490784,a,None,None,None
None,18.366760,537.691021,329.941624,1.199340,153.748853,a,None,None,None
None,19.582640,598.078357,158.530221,3.827760,181.737446,a,None,None,None
None,23.459660,997.010991,124.742976,0.180720,400.360867,a,None,None,None
None,23.738890,533.421255,282.950713,0.903440,489.841945,a,None,None,None
None,24.675350,523.355307,55.147214,0.098510,228.025783,a,None,None,None
None,24.823060,547.503323,359.001623,0.147950,304.812448,a,None,None,None
None,25.118770,395.757140,9.586230,0.049320,380.943592,a,None,None,None
None,25.233760,379.882410,420.916570,0.016360,411.636557,a,None,None,None
None,25.332460,181.695333,91.433608,0.295590,384.495956,a,None,None,None
None,25.726560,497.072537,640.959898,0.394590,633.594448,a,None,None,None
None,26.137330,483.432258,726.943063,1.741580,87.058382,a,None,None,None
None,27.944640,966.086981,718.094960,0.394110,482.735818,a,None,None,None
None,28.404480,615.502173,891.735096,0.131590,391.229606,a,None,None,None
None,28.568730,468.339387,880.481474,1.035030,147.592444,a,None,None,None
None,29.652950,716.540737,841.037657,0.131840,251.315986,a,None,None,None
None,29.850280,558.759959,421.272251,0.410710,448.439260,a,None,None,None
None,30.343020,969.509822,643.298352,1.938290,466.916523,a,None,None,None
None,32.363710,435.632442,754.393009,0.361390,545.313744,a,None,None,None
None,32.823910,950.463937,345.631912,0.919860,657.371357,a,None,None,None
None,33.875120,425.340954,103.256403,0.065610,578.359779,a,None,None,None
None,34.006530,560.078022,372.048890,0.706420,300.671712,a,None,None,None
