subj,cond,AOI,duration,order
User 11ab,p2,ah,2.431390,1
User 11ab,p2,bh,0.131340,2
User 11ab,p2,ah,0.870610,3
User 11ab,p2,ag,1.593630,4
User 11ab,p2,af,0.263180,5
User 11ab,p2,ad,1.035160,6
User 11ab,p2,ab,0.163940,7
User 11ab,p2,bc,0.443360,8
User 11ab,p2,bd,0.492680,9
User 11ab,p2,be,0.295660,10
User 11ab,p2,af,0.903560,11
User 11ab,p2,ag,0.213620,12
User 11ab,p2,bg,0.377810,13
User 11ab,p2,ag,0.722780,14
User 11ab,p2,bg,0.460200,15
User 11ab,p2,bh,0.509150,16
User 11ab,p2,bc,0.262940,17
User 11ab,p2,ad,0.476440,18
User 11ab,p2,ad,0.098390,19
User 11ab,p2,ac,0.032720,20
User 11ab,p2,ad,0.607910,21
User 11ab,p2,ae,0.788700,22
User 11ab,p2,ag,3.696530,23
User 11ab,p2,bg,0.887210,24
User 11ab,p2,be,0.262810,25
User 11ab,p2,bd,0.574950,26
User 11ab,p2,ab,0.492800,27
User 11ab,p2,ac,1.872930,28
User 11ab,p2,ae,0.114750,29
User 11ab,p2,ah,1.724970,30
User 11ab,p2,ag,0.328620,31
User 11ab,p2,ag,0.230100,32
User 11ab,p2,bg,0.443610,33
User 11ab,p2,ag,0.804930,34
User 11ab,p2,af,0.032710,35
User 11ab,p2,ag,3.088740,36
User 11ab,p2,ag,0.805050,37
User 11ab,p2,bg,0.361330,38
User 11ab,p2,bf,1.035400,39
User 11ab,p2,ae,0.164300,40
User 11ab,p2,ad,1.020390,41
User 11ab,p2,bf,0.607670,42
User 11ab,p2,be,0.065680,43
User 11ab,p2,bf,2.382080,44
User 11ab,p2,bh,3.893560,45
User 11ab,p2,ah,0.443600,46
User 11ab,p2,ae,2.611820,47
User 11ab,p2,ad,2.464230,48
User 11ab,p2,ac,0.952510,49
User 11ab,p2,bd,0.328730,50
User 11ab,p2,be,0.476440,51
User 11ab,p2,bg,0.607910,52
User 11ab,p2,bc,0.969360,53
User 11ab,p2,ad,0.690190,54
User 11ab,p2,bf,0.640740,55
User 11ab,p2,bh,1.199210,56
User 11ab,p2,ad,0.114870,57
User 11ab,p2,ab,0.246580,58
User 11ab,p2,bg,0.032840,59
User 11ab,p2,bg,0.032710,60
User 11ab,p2,bh,0.377690,61
User 11ab,p2,ah,0.197020,62
User 11ab,p2,ah,0.657110,63
User 11ab,p2,ah,0.476440,64
User 11ab,p2,ah,0.147820,65
