aoi_order,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label,aoi_line,word,word_length_signs
None,0.115310,698.343308,163.735342,0.197020,0.000000,a,None,None,None
None,0.345110,499.208988,101.993017,0.262820,0.000000,a,None,None,None
None,1.002200,472.059496,299.347254,0.016540,199.212925,a,None,None,None
None,1.642930,522.952559,46.306557,1.248550,258.107919,a,None,None,None
None,3.055830,991.786601,117.819589,1.429110,474.256758,a,None,None,None
None,4.567050,472.395209,149.206303,1.265130,520.338874,a,None,None,None
None,5.881300,500.009134,181.610249,1.363620,42.573990,a,None,None,None
None,7.326900,995.942915,244.358125,1.413090,499.887598,a,None,None,None
None,8.789460,972.048223,374.604933,0.837620,132.420495,a,None,None,None
None,9.692700,491.167394,277.760082,0.870730,490.535724,a,None,None,None
None,10.794530,539.723571,438.421691,0.031660,167.838776,a,None,None,None
None,10.859070,533.211098,238.274970,2.069930,200.252646,a,None,None,None
None,13.027650,505.493996,575.945043,2.743510,338.805720,a,None,None,None
None,15.823240,992.038410,658.146478,0.210970,493.439503,a,None,None,None
None,16.083400,770.289966,806.468529,0.344900,266.780440,a,None,None,None
None,16.477490,512.927580,839.415644,1.610030,259.462734,a,None,None,None
None,18.169650,535.758363,259.836906,4.484970,580.028239,a,None,None,None
None,22.917510,598.200345,473.618654,0.016330,222.714249,a,None,None,None
None,22.983260,506.166946,273.226617,0.131230,220.515566,a,None,None,None
None,23.607540,974.127867,278.475432,0.476200,467.990356,a,None,None,None
