subj,cond,AOI,duration,order
User 17ab,p2,ag,0.246570,1
User 17ab,p2,ah,0.574830,2
User 17ab,p2,ai,1.971390,3
User 17ab,p2,ah,0.476470,4
User 17ab,p2,ag,0.049240,5
User 17ab,p2,ah,3.318650,6
User 17ab,p2,bh,3.137930,7
User 17ab,p2,ag,1.363450,8
User 17ab,p2,af,1.051880,9
User 17ab,p2,bf,0.739290,10
User 17ab,p2,bh,0.065720,11
User 17ab,p2,bf,1.166490,12
User 17ab,p2,af,3.252630,13
User 17ab,p2,af,1.889360,14
User 17ab,p2,ae,0.493020,15
User 17ab,p2,ag,1.741380,16
User 17ab,p2,bg,0.147680,17
User 17ab,p2,ad,6.625410,18
User 17ab,p2,ab,0.262970,19
User 17ab,p2,ab,1.905820,20
User 17ab,p2,ab,0.936200,21
User 17ab,p2,ab,0.460190,22
User 17ab,p2,bc,0.444030,23
User 17ab,p2,ah,0.131500,24
User 17ab,p2,bd,0.345020,25
User 17ab,p2,bf,1.363400,26
