subj,cond,AOI,duration,order
User 18ba,p1,af,0.262760,1
User 18ba,p1,ag,0.164190,2
User 18ba,p1,ag,0.443540,3
User 18ba,p1,ag,1.248840,4
User 18ba,p1,af,1.612000,5
User 18ba,p1,af,2.168830,6
User 18ba,p1,ae,0.147830,7
User 18ba,p1,ah,0.114870,8
User 18ba,p1,ah,0.328610,9
User 18ba,p1,bi,0.739130,10
User 18ba,p1,ai,0.213570,11
User 18ba,p1,ai,0.131840,12
User 18ba,p1,bh,0.656930,13
User 18ba,p1,ai,0.131470,14
User 18ba,p1,ah,0.853820,15
User 18ba,p1,ag,1.462280,16
User 18ba,p1,ag,0.246640,17
User 18ba,p1,ag,0.493290,18
User 18ba,p1,ag,0.180180,19
User 18ba,p1,af,0.377870,20
User 18ba,p1,af,0.706300,21
User 18ba,p1,af,0.199280,22
User 18ba,p1,af,0.607720,23
User 18ba,p1,af,1.133610,24
User 18ba,p1,af,0.180660,25
User 18ba,p1,af,0.342590,26
User 18ba,p1,ag,0.755620,27
User 18ba,p1,ae,1.659360,28
User 18ba,p1,ae,0.131590,29
User 18ba,p1,be,0.197150,30
User 18ba,p1,af,0.262700,31
User 18ba,p1,ad,0.770440,32
User 18ba,p1,ad,0.229680,33
User 18ba,p1,ad,0.246580,34
User 18ba,p1,ac,0.525880,35
User 18ba,p1,ab,0.246340,36
User 18ba,p1,ab,0.197140,37
User 18ba,p1,af,1.068360,38
