0.081670 -0.394943
0.410280 -1.352492
0.771850 -0.479840
1.215330 -0.623080
1.626100 -1.487435
1.724730 -0.717249
2.349370 -0.137987
3.695920 2.387436
6.521850 2.880008
9.166630 0.169391
9.988160 -0.195701
10.398800 3.042565
13.257450 2.682131
16.362300 0.985813
18.399290 1.209005
20.403690 0.299929
21.126590 0.996986
22.360840 -3.269709
22.621580 0.560728
25.135010 -1.141101
25.447270 -0.690065
25.628170 0.037314
26.104370 0.027541
26.613770 0.130699
27.780030 -0.065381
28.617800 1.910153
31.180540 -0.182628
31.887210 0.535637
34.926270 1.216431
36.306270 -2.263429
36.602050 0.238107
37.768430 -1.236236
39.361940 -0.055973
40.314820 -4.033664
40.972050 -4.033664
