subj,cond,AOI,duration,order
User 6ba,p1,ag,0.492920,586
User 6ba,p1,af,0.459960,587
User 6ba,p1,ag,0.065670,588
User 6ba,p1,ae,0.114750,589
User 6ba,p1,ae,0.295660,590
User 6ba,p1,af,0.263190,591
User 6ba,p1,af,2.497070,592
User 6ba,p1,af,0.689940,593
User 6ba,p1,af,0.295660,594
User 6ba,p1,ae,0.459960,595
User 6ba,p1,ae,0.131350,596
User 6ba,p1,ae,0.722900,597
User 6ba,p1,ae,1.248540,598
User 6ba,p1,ad,1.774420,599
User 6ba,p1,ac,0.821290,600
User 6ba,p1,ac,0.131830,601
User 6ba,p1,ae,0.509280,602
User 6ba,p1,af,2.776610,603
User 6ba,p1,ag,0.049080,604
User 6ba,p1,af,0.887200,605
User 6ba,p1,bf,0.065910,606
User 6ba,p1,be,0.034180,607
User 6ba,p1,ae,0.032960,608
User 6ba,p1,ae,3.318610,609
User 6ba,p1,ac,1.971190,610
User 6ba,p1,ae,0.279050,611
User 6ba,p1,ad,0.771970,612
User 6ba,p1,ad,0.147700,613
User 6ba,p1,ae,0.509520,614
User 6ba,p1,ae,0.722650,615
User 6ba,p1,ac,0.689940,616
User 6ba,p1,ac,0.114990,617
User 6ba,p1,ac,0.131590,618
User 6ba,p1,ae,0.229730,619
User 6ba,p1,af,0.163820,620
User 6ba,p1,af,0.969240,621
User 6ba,p1,ag,0.180670,622
User 6ba,p1,af,0.049070,623
User 6ba,p1,ag,0.624020,624
User 7ab,p2,ah,0.542000,625
User 7ab,p2,ai,0.426760,626
User 7ab,p2,ai,0.229980,627
User 7ab,p2,ai,0.575190,628
User 7ab,p2,ai,0.131350,629
User 7ab,p2,ai,0.459960,630
User 7ab,p2,ai,0.263190,631
User 7ab,p2,bi,0.197270,632
User 7ab,p2,ah,0.919920,633
User 7ab,p2,ah,1.001960,634
User 7ab,p2,ai,0.295900,635
User 7ab,p2,ai,0.295900,636
User 7ab,p2,bh,0.624020,637
User 7ab,p2,ah,0.771970,638
User 7ab,p2,ah,0.164070,639
User 7ab,p2,bh,0.377930,640
User 7ab,p2,ag,0.805170,641
User 7ab,p2,ag,0.706060,642
User 7ab,p2,bf,0.297370,643
User 7ab,p2,bh,0.049320,644
User 7ab,p2,bg,0.049310,645
User 7ab,p2,ag,0.410640,646
User 7ab,p2,ag,0.969240,647
User 7ab,p2,ag,0.525880,648
User 7ab,p2,ag,0.164060,649
User 7ab,p2,ag,1.001950,650
User 7ab,p2,ag,0.180660,651
User 7ab,p2,bg,0.952630,652
User 7ab,p2,bg,0.229980,653
User 7ab,p2,bf,0.574700,654
User 7ab,p2,be,0.295900,655
User 7ab,p2,ae,0.706540,656
User 7ab,p2,ae,0.279300,657
User 7ab,p2,bd,0.476070,658
User 7ab,p2,ac,0.345210,659
User 7ab,p2,ad,0.114740,660
User 7ab,p2,ab,0.197270,661
User 7ab,p2,ab,0.706540,662
User 7ab,p2,ab,0.280270,663
User 7ab,p2,ab,1.084470,664
User 7ab,p2,ac,0.524900,665
User 7ab,p2,bd,0.328620,666
User 7ab,p2,ad,0.345210,667
User 7ab,p2,ag,0.641120,668
User 7ab,p2,bf,0.344730,669
User 7ab,p2,af,0.624510,670
User 7ab,p2,ae,0.558600,671
User 7ab,p2,be,0.394530,672
User 7ab,p2,bf,0.541990,673
User 7ab,p2,af,1.642580,674
User 7ab,p2,af,0.312500,675
User 7ab,p2,af,0.164550,676
User 7ab,p2,af,1.249020,677
User 7ab,p2,ae,1.330570,678
User 7ab,p2,be,0.624030,679
User 7ab,p2,ae,3.876950,680
User 7ab,p2,ad,0.394040,681
User 7ab,p2,bd,0.146480,682
User 7ab,p2,ad,0.427250,683
User 7ab,p2,ad,0.837890,684
User 7ab,p2,bd,0.837890,685
User 7ab,p2,ad,1.610350,686
User 7ab,p2,ad,1.626460,687
User 7ab,p2,ad,1.463870,688
User 7ab,p2,bd,0.262690,689
User 7ab,p2,ad,0.429200,690
User 7ab,p2,ac,0.476560,691
User 7ab,p2,bc,0.361330,692
User 7ab,p2,ac,0.673340,693
User 7ab,p2,ac,1.643060,694
User 7ab,p2,bc,0.328620,695
User 7ab,p2,ac,3.187010,696
User 7ab,p2,ac,2.595700,697
User 7ab,p2,ac,0.657230,698
User 7ab,p2,ac,1.001950,699
User 7ab,p2,bd,0.361330,700
User 7ab,p2,ad,0.049310,701
User 7ab,p2,ad,1.232420,702
User 7ab,p2,ad,0.115240,703
User 7ab,p2,bd,0.229980,704
User 7ab,p2,ad,0.164550,705
User 7ab,p2,ad,1.183110,706
User 7ab,p2,ad,0.476560,707
User 7ab,p2,ag,0.443850,708
User 7ab,p2,ag,0.936520,709
User 7ab,p2,bg,0.591310,710
User 7ab,p2,ah,0.443360,711
User 7ab,p2,af,0.985840,712
User 7ab,p2,af,1.215330,713
User 7ab,p2,af,0.180180,714
User 7ab,p2,bf,0.246090,715
User 7ab,p2,af,0.312500,716
User 7ab,p2,af,0.723150,717
User 7ab,p2,af,0.279290,718
User 7ab,p2,af,0.607420,719
User 7ab,p2,af,0.197270,720
User 7ab,p2,ag,0.213870,721
User 7ab,p2,ai,0.196780,722
User 7ab,p2,bh,0.229980,723
User 7ab,p2,bh,0.410650,724
User 7ab,p2,ah,0.279300,725
User 7ab,p2,bh,0.312010,726
User 7ab,p2,bg,0.525880,727
User 7ab,p2,bg,0.049310,728
User 7ab,p2,bf,0.098630,729
User 7ab,p2,ad,0.131350,730
User 7ab,p2,ad,0.246580,731
User 7ab,p2,ab,0.276360,732
User 7ab,p2,ab,0.196780,733
User 7ab,p2,ac,0.460450,734
User 7ab,p2,ah,0.131340,735
User 7ab,p2,ad,0.016600,736
User 3ab,p2,ag,0.213500,737
User 3ab,p2,ag,0.164430,738
User 3ab,p2,ah,0.196530,739
User 3ab,p2,ai,0.427130,740
User 3ab,p2,ai,0.969000,741
User 3ab,p2,ai,0.279290,742
User 3ab,p2,bi,0.246460,743
User 3ab,p2,ai,0.476450,744
User 3ab,p2,ah,0.065800,745
User 3ab,p2,ai,0.181150,746
User 3ab,p2,ah,0.115230,747
User 3ab,p2,ag,0.706300,748
User 3ab,p2,ah,0.279300,749
User 3ab,p2,ag,0.067260,750
User 3ab,p2,ai,0.032600,751
User 3ab,p2,ah,0.328860,752
User 3ab,p2,ag,0.213510,753
User 3ab,p2,ah,0.114990,754
User 3ab,p2,ag,0.114990,755
User 3ab,p2,ah,0.049320,756
User 3ab,p2,ag,0.065800,757
User 3ab,p2,ah,0.049310,758
User 3ab,p2,ag,0.164060,759
User 3ab,p2,ah,0.098630,760
User 3ab,p2,bh,0.049310,761
User 3ab,p2,bh,1.297850,762
User 3ab,p2,bg,0.724480,763
User 3ab,p2,ag,0.591300,764
User 3ab,p2,ah,0.049440,765
User 3ab,p2,af,0.197270,766
User 3ab,p2,af,0.427120,767
User 3ab,p2,ag,0.049440,768
User 3ab,p2,af,0.804930,769
User 3ab,p2,af,0.985710,770
User 3ab,p2,ad,0.197390,771
User 3ab,p2,af,0.394280,772
User 3ab,p2,bf,0.279290,773
User 3ab,p2,af,0.131470,774
User 3ab,p2,ae,0.262940,775
User 3ab,p2,ae,0.985710,776
User 3ab,p2,ad,0.673590,777
User 3ab,p2,ac,0.328490,778
User 3ab,p2,ad,0.246460,779
User 3ab,p2,ac,0.377800,780
User 3ab,p2,ag,1.823850,781
User 3ab,p2,bg,0.081790,782
User 3ab,p2,bh,0.032950,783
User 3ab,p2,bg,0.148440,784
User 3ab,p2,ah,0.460080,785
User 3ab,p2,ah,0.706180,786
User 3ab,p2,ah,0.016350,787
User 3ab,p2,bh,0.690070,788
User 19ab,p2,af,0.032720,789
User 19ab,p2,ag,0.213740,790
User 19ab,p2,ah,0.788570,791
User 19ab,p2,ai,0.262690,792
User 19ab,p2,ah,0.460090,793
User 19ab,p2,ai,0.049200,794
User 19ab,p2,ah,0.049190,795
User 19ab,p2,ah,0.114990,796
User 19ab,p2,ah,0.131470,797
User 19ab,p2,ai,0.049320,798
User 19ab,p2,ah,0.213500,799
User 19ab,p2,ah,0.673950,800
User 19ab,p2,ai,0.147940,801
User 19ab,p2,bh,0.295900,802
User 19ab,p2,bh,0.262820,803
User 19ab,p2,bi,0.049200,804
User 19ab,p2,bh,0.131350,805
User 19ab,p2,ah,0.180790,806
User 19ab,p2,ah,0.049320,807
User 19ab,p2,ah,0.952880,808
User 19ab,p2,ah,0.410890,809
User 19ab,p2,bh,0.164190,810
User 19ab,p2,bh,0.295650,811
User 19ab,p2,bh,0.180660,812
User 19ab,p2,bi,0.098510,813
User 19ab,p2,bh,0.213630,814
User 19ab,p2,ah,0.229980,815
User 19ab,p2,ag,1.002320,816
User 19ab,p2,af,0.377930,817
User 19ab,p2,ag,0.032830,818
User 19ab,p2,ag,0.525880,819
User 19ab,p2,af,1.133310,820
User 19ab,p2,bf,0.328490,821
User 19ab,p2,af,0.461790,822
User 19ab,p2,af,0.722780,823
User 19ab,p2,af,1.429930,824
User 19ab,p2,af,1.642460,825
User 19ab,p2,ae,1.133660,826
User 19ab,p2,ae,1.412970,827
User 19ab,p2,ad,1.659420,828
User 19ab,p2,ad,1.462280,829
User 19ab,p2,ae,1.231810,830
User 19ab,p2,ae,0.870850,831
User 19ab,p2,ad,1.856570,832
User 19ab,p2,ad,0.213500,833
User 19ab,p2,ac,1.462040,834
User 19ab,p2,ac,2.021970,835
User 19ab,p2,ac,3.334840,836
User 19ab,p2,ab,0.624270,837
User 19ab,p2,ab,0.722900,838
User 19ab,p2,ac,0.345100,839
User 19ab,p2,af,0.837770,840
User 19ab,p2,ag,1.116940,841
User 19ab,p2,ac,0.147580,842
User 19ab,p2,ag,0.673340,843
User 19ab,p2,bg,1.347290,844
User 19ab,p2,bf,0.673460,845
User 19ab,p2,bf,0.049310,846
User 19ab,p2,be,0.049070,847
User 19ab,p2,bf,0.213510,848
User 19ab,p2,bf,0.920290,849
User 19ab,p2,be,0.393920,850
User 19ab,p2,ae,0.180910,851
User 19ab,p2,af,1.002190,852
User 19ab,p2,bf,1.116940,853
User 19ab,p2,ah,0.114860,854
User 19ab,p2,bh,0.049440,855
User 19ab,p2,bg,1.083740,856
User 19ab,p2,ah,0.952880,857
User 19ab,p2,bh,1.380120,858
User 19ab,p2,bh,0.311650,859
User 19ab,p2,ag,0.082150,860
User 19ab,p2,ac,2.037230,861
User 19ab,p2,bc,0.689940,862
User 19ab,p2,ac,0.854370,863
User 19ab,p2,ab,0.197150,864
User 19ab,p2,ab,0.343510,865
User 19ab,p2,ab,0.788690,866
User 19ab,p2,ab,0.016240,867
User 19ab,p2,bb,0.164190,868
User 19ab,p2,bc,0.344840,869
User 19ab,p2,ab,0.625490,870
User 19ab,p2,ac,0.427120,871
User 19ab,p2,ac,3.531980,872
User 19ab,p2,bc,0.493040,873
User 19ab,p2,ac,1.265020,874
User 19ab,p2,ad,0.147950,875
User 19ab,p2,ae,0.936650,876
User 19ab,p2,bf,0.509280,877
User 19ab,p2,ag,0.591430,878
User 19ab,p2,ah,0.016480,879
User 19ab,p2,ah,0.410890,880
User 19ab,p2,ah,0.623900,881
User 19ab,p2,ai,0.180790,882
User 6ba,p2,ag,0.197020,883
User 6ba,p2,ah,0.722900,884
User 6ba,p2,ah,0.854250,885
User 6ba,p2,bi,0.459720,886
User 6ba,p2,ai,0.262940,887
User 6ba,p2,ah,0.082270,888
User 6ba,p2,ai,0.147940,889
User 6ba,p2,ah,1.199220,890
User 6ba,p2,ah,0.854250,891
User 6ba,p2,bh,0.657230,892
User 6ba,p2,ah,0.344970,893
User 6ba,p2,bg,0.328860,894
User 6ba,p2,bh,0.213380,895
User 6ba,p2,bg,0.837640,896
User 6ba,p2,ag,0.361580,897
User 6ba,p2,af,0.098630,898
User 6ba,p2,bg,1.692140,899
User 6ba,p2,bg,2.596190,900
User 6ba,p2,be,0.229980,901
User 6ba,p2,ae,1.001950,902
User 6ba,p2,ae,0.773440,903
User 6ba,p2,ad,0.361570,904
User 6ba,p2,ad,0.279300,905
User 6ba,p2,bd,0.164310,906
User 6ba,p2,ad,0.180910,907
User 6ba,p2,ad,0.114990,908
User 6ba,p2,ad,1.232170,909
User 6ba,p2,bc,0.197270,910
User 6ba,p2,bg,0.312250,911
User 6ba,p2,ag,1.330560,912
User 6ba,p2,ag,0.147710,913
User 6ba,p2,ae,0.100340,914
User 6ba,p2,ad,0.443600,915
User 6ba,p2,ad,0.114990,916
User 6ba,p2,bd,0.147950,917
User 6ba,p2,ae,0.114990,918
User 6ba,p2,ah,0.032960,919
User 10ba,p2,af,0.263060,920
User 10ba,p2,ah,0.130980,921
User 10ba,p2,ai,0.213620,922
User 10ba,p2,ai,0.689820,923
User 10ba,p2,ai,0.230100,924
User 10ba,p2,ai,0.361570,925
User 10ba,p2,ai,0.229980,926
User 10ba,p2,ai,1.495120,927
User 10ba,p2,ai,0.394040,928
User 10ba,p2,bi,0.443490,929
User 10ba,p2,ah,0.082150,930
User 10ba,p2,ah,3.006220,931
User 10ba,p2,ai,1.511600,932
User 10ba,p2,ai,0.197630,933
User 10ba,p2,ah,1.084350,934
User 10ba,p2,bh,0.755740,935
User 10ba,p2,ag,0.558470,936
User 10ba,p2,bf,0.476560,937
User 10ba,p2,ag,2.743160,938
User 10ba,p2,ag,1.856320,939
User 10ba,p2,ag,1.921870,940
User 10ba,p2,ag,0.443480,941
User 10ba,p2,af,1.051510,942
User 10ba,p2,af,0.098630,943
User 10ba,p2,bf,1.067750,944
User 10ba,p2,ag,0.262940,945
User 10ba,p2,af,0.607920,946
User 10ba,p2,bf,0.098390,947
User 10ba,p2,be,0.295650,948
User 10ba,p2,ae,0.640870,949
User 10ba,p2,ae,2.398800,950
User 10ba,p2,af,0.016350,951
User 10ba,p2,ae,0.279540,952
User 10ba,p2,ad,2.168460,953
User 10ba,p2,bd,0.295530,954
User 10ba,p2,ad,1.724860,955
User 10ba,p2,ad,0.805060,956
User 10ba,p2,bd,0.247070,957
User 10ba,p2,bc,0.213740,958
User 10ba,p2,ac,1.313840,959
User 10ba,p2,ab,0.115230,960
User 10ba,p2,ab,0.262820,961
User 10ba,p2,ab,0.295660,962
User 10ba,p2,ac,3.614130,963
User 10ba,p2,ac,0.377810,964
User 10ba,p2,ac,3.400390,965
User 10ba,p2,ab,0.279170,966
User 10ba,p2,bd,0.032960,967
User 10ba,p2,bf,0.361820,968
User 10ba,p2,bg,0.180670,969
User 10ba,p2,af,0.673340,970
User 10ba,p2,ae,0.394400,971
User 10ba,p2,af,0.344970,972
User 10ba,p2,bg,1.379890,973
User 10ba,p2,ab,0.591310,974
User 10ba,p2,bf,0.345210,975
User 4ba,p2,af,0.231080,976
User 4ba,p2,af,0.147950,977
User 4ba,p2,ah,0.476440,978
User 4ba,p2,ai,1.051390,979
User 4ba,p2,ah,1.412840,980
User 4ba,p2,bh,0.640620,981
User 4ba,p2,ah,0.673580,982
User 4ba,p2,af,2.480590,983
User 4ba,p2,bg,1.889280,984
User 4ba,p2,ag,1.264890,985
User 4ba,p2,af,0.114860,986
User 4ba,p2,ag,0.016360,987
User 4ba,p2,af,0.078370,988
User 4ba,p2,bf,1.675780,989
User 4ba,p2,ae,0.018550,990
User 4ba,p2,ae,0.772090,991
User 4ba,p2,ad,1.593380,992
User 4ba,p2,ae,0.344850,993
User 4ba,p2,ac,0.805300,994
User 4ba,p2,ae,0.410520,995
User 4ba,p2,af,0.525880,996
User 4ba,p2,ah,0.016480,997
User 4ba,p2,ag,0.032960,998
User 4ba,p2,bf,1.626340,999
User 4ba,p2,ag,0.032960,1000
User 4ba,p2,af,0.230220,1001
User 4ba,p2,bf,0.837770,1002
User 13ab,p1,ag,0.229980,1003
User 13ab,p1,ai,1.544310,1004
User 13ab,p1,ai,0.890010,1005
User 13ab,p1,ah,0.722960,1006
User 13ab,p1,ag,0.823480,1007
User 13ab,p1,ag,0.690120,1008
User 13ab,p1,af,0.607910,1009
User 13ab,p1,af,1.411500,1010
User 13ab,p1,ag,3.467100,1011
User 13ab,p1,af,1.429320,1012
User 13ab,p1,af,1.133550,1013
User 13ab,p1,af,0.410710,1014
User 13ab,p1,ag,0.821410,1015
User 13ab,p1,af,0.954160,1016
User 13ab,p1,ae,0.016540,1017
User 13ab,p1,ad,0.016300,1018
User 13ab,p1,ae,0.031000,1019
User 13ab,p1,ae,0.147830,1020
User 13ab,p1,ae,1.856630,1021
User 13ab,p1,ad,0.114990,1022
User 13ab,p1,ad,1.692200,1023
User 13ab,p1,ac,0.920100,1024
User 13ab,p1,ab,1.642760,1025
User 13ab,p1,af,6.390570,1026
User 12ba,p1,ag,1.232730,1027
User 12ba,p1,ah,1.347290,1028
User 12ba,p1,ag,1.084250,1029
User 12ba,p1,af,2.431180,1030
User 12ba,p1,af,1.248500,1031
User 12ba,p1,af,1.839780,1032
User 12ba,p1,af,1.101130,1033
User 12ba,p1,ae,0.492590,1034
User 12ba,p1,ae,0.755560,1035
User 12ba,p1,ae,0.147880,1036
User 12ba,p1,af,0.328550,1037
User 12ba,p1,ae,0.098480,1038
User 12ba,p1,af,2.661230,1039
User 12ba,p1,af,0.870730,1040
User 12ba,p1,ae,0.345060,1041
User 12ba,p1,af,0.755680,1042
User 12ba,p1,af,0.460020,1043
User 12ba,p1,ad,0.706360,1044
User 12ba,p1,af,0.788730,1045
User 12ba,p1,ae,0.262820,1046
User 12ba,p1,ae,0.312290,1047
User 12ba,p1,af,0.624110,1048
User 12ba,p1,ad,0.558650,1049
User 12ba,p1,ad,0.673520,1050
User 12ba,p1,ac,0.805150,1051
User 12ba,p1,af,1.133390,1052
User 12ba,p1,ah,0.459680,1053
User 12ba,p1,ag,0.115020,1054
User 12ba,p1,ai,0.147730,1055
User 12ba,p1,ah,0.180750,1056
User 12ba,p1,ab,0.920080,1057
User 12ba,p1,ab,0.345060,1058
User 12ba,p1,ae,0.049410,1059
User 16ba,p2,ag,0.295110,1060
User 16ba,p2,ah,0.213380,1061
User 16ba,p2,ai,0.065610,1062
User 16ba,p2,ah,0.065550,1063
User 16ba,p2,ai,0.344910,1064
User 16ba,p2,ah,0.147710,1065
User 16ba,p2,bi,0.361570,1066
User 16ba,p2,bi,0.098020,1067
User 16ba,p2,ah,0.230100,1068
User 16ba,p2,ai,0.723210,1069
User 16ba,p2,ai,0.328550,1070
User 16ba,p2,ai,0.377810,1071
User 16ba,p2,ag,0.919860,1072
User 16ba,p2,af,2.382210,1073
User 16ba,p2,bg,1.577150,1074
User 16ba,p2,bf,0.722650,1075
User 16ba,p2,be,0.164060,1076
User 16ba,p2,ae,0.459960,1077
User 16ba,p2,be,0.575080,1078
User 16ba,p2,bd,1.708740,1079
User 16ba,p2,be,0.132200,1080
User 16ba,p2,ae,2.102970,1081
User 16ba,p2,ad,1.330810,1082
User 16ba,p2,ac,2.069890,1083
User 16ba,p2,ab,0.952630,1084
User 16ba,p2,ab,0.394650,1085
User 16ba,p2,ab,0.591250,1086
User 16ba,p2,ab,0.279180,1087
User 16ba,p2,ah,1.084410,1088
User 16ba,p2,ah,0.164370,1089
User 16ba,p2,ai,0.164190,1090
User 16ba,p2,bi,0.361520,1091
User 16ba,p2,ai,0.854610,1092
User 16ba,p2,ai,0.607550,1093
User 16ba,p2,ai,0.328620,1094
User 16ba,p2,ai,0.114870,1095
User 16ba,p2,ai,0.147700,1096
User 16ba,p2,ai,0.229860,1097
User 16ba,p2,ac,0.016360,1098
User 16ba,p2,ae,0.098570,1099
User 16ba,p2,bg,0.295710,1100
User 16ba,p2,bc,0.558350,1101
User 16ba,p2,be,0.690190,1102
User 2ab,p1,af,0.361510,1103
User 2ab,p1,ai,0.016230,1104
User 2ab,p1,ag,0.049320,1105
User 2ab,p1,ai,0.016420,1106
User 2ab,p1,ah,0.065610,1107
User 2ab,p1,ag,1.100580,1108
User 2ab,p1,ah,0.032890,1109
User 2ab,p1,ag,0.312070,1110
User 2ab,p1,ah,0.147770,1111
User 2ab,p1,ah,0.049380,1112
User 2ab,p1,ag,0.049250,1113
User 2ab,p1,bh,0.378000,1114
User 2ab,p1,bi,0.098630,1115
User 2ab,p1,ai,0.295720,1116
User 2ab,p1,ai,0.246400,1117
User 2ab,p1,ah,0.739440,1118
User 2ab,p1,ag,0.377570,1119
User 2ab,p1,ai,0.016290,1120
User 2ab,p1,ag,0.591550,1121
User 2ab,p1,ag,0.345160,1122
User 2ab,p1,ag,0.493110,1123
User 2ab,p1,ai,0.164430,1124
User 2ab,p1,ag,0.049380,1125
User 2ab,p1,ai,0.197330,1126
User 2ab,p1,ag,0.575310,1127
User 2ab,p1,ag,0.114920,1128
User 2ab,p1,ah,0.032960,1129
User 2ab,p1,af,1.544250,1130
