aoi_order,x_bl,y_bl,x_br,y_br,x_tr,y_tr,x_tl,y_tl,width,height,task_id,aoi_label,aoi_id
0,0,0,1680,0,1680,1050,0,1050,1680,1050,Vertical,fullVert,a
1,0,0,1680,0,1680,1050,0,1050,1680,1050,Horizontal,fullHor,b
