Gazepoint Analysis,v4.1.0
Processed on,Wed Nov 15 17:16:05 2017

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 15, 8ba, M, 0, 4.994, 5.340, 0.022, 22.000, 14, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 17, 9ab, M, 0, 1.938, 1.213, 0.005, 6.000, 7, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 18, 10ba, M, 0, 0.000, 8.246, 0.034, 22.000, 14, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 19, 11ab, M, 0, 0.000, 2.858, 0.012, 9.000, 4, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 20, 12ba, M, 0, 0.789, 2.432, 0.010, 12.000, 8, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 21, 13ab, M, 0, 0.000, 3.811, 0.016, 8.000, 6, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 22, 14ba, M, 0, 0.296, 5.030, 0.021, 15.000, 8, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 23, 15ab, M, 0, 3.992, 6.900, 0.029, 14.000, 7, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 24, 16ba, M, 0, 0.361, 2.153, 0.009, 8.000, 6, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 25, 17ab, M, 0, 4.896, 7.458, 0.031, 22.000, 13, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 26, 18ba, M, 0, 0.624, 4.419, 0.018, 16.000, 14, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 27, 19ab, M, 0, 0.000, 5.868, 0.024, 18.000, 12, 
2, Vertical, 24000.000, 1, AOI 1, 0.000, 24000.000, 29, 20ba, M, 0, 0.000, 6.571, 0.027, 23.000, 23, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 6, 1ab, M, 0, 12.502, 17.397, 0.072, 44.000, 14, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 7, 2ab, M, 0, 0.017, 6.224, 0.026, 21.000, 14, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 8, 3ab, M, 0, 3.943, 5.782, 0.024, 19.000, 14, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 9, 4ba, M, 0, 0.180, 8.000, 0.033, 18.000, 8, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 10, 5ba, M, 0, 0.033, 22.336, 0.093, 61.000, 24, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 13, 6ba, M, 0, 7.557, 13.804, 0.058, 38.000, 15, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 14, 7ab, M, 0, 4.567, 21.401, 0.089, 55.000, 29, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 15, 8ba, M, 0, 9.035, 6.505, 0.027, 21.000, 9, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 17, 9ab, M, 0, 2.316, 2.612, 0.011, 9.000, 6, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 18, 10ba, M, 0, 14.753, 19.203, 0.080, 49.000, 21, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 19, 11ab, M, 0, 5.569, 3.515, 0.015, 9.000, 3, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 20, 12ba, M, 0, 0.033, 15.296, 0.064, 37.000, 8, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 21, 13ab, M, 0, 5.241, 14.821, 0.062, 25.000, 5, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 22, 14ba, M, 0, 0.016, 4.484, 0.019, 9.000, 5, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 23, 15ab, M, 0, 0.016, 8.989, 0.037, 23.000, 9, 
